date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
2/9/2013;13848;9.95671;638;638;2701;0;1114;141;155;0;0;0;0;0
2/10/2013;11132;8.00391;578;578;2624;0;710;193;114;0;453;440;8;4
2/11/2013;5208;3.74455;408;408;2403;0;827;145;72;1;395;366;16;4
2/12/2013;3104;2.23178;239;239;2183;0;1315;102;23;0;0;0;0;0
2/13/2013;15836;11.38608;805;805;2918;0;700;193;174;1;369;350;8;6
2/14/2013;3952;2.84149;421;421;2419;0;749;229;28;0;437;419;16;8
2/15/2013;8196;5.89292;370;370;2353;0;1281;75;81;3;0;0;0;0
2/16/2013;1769;1.27191;208;208;2143;0;797;87;28;0;528;494;28;10
2/17/2013;7586;5.45433;629;629;2690;0;1097;248;93;2;0;0;0;0
2/18/2013;10263;7.3791;572;572;2615;0;1134;185;110;11;0;0;0;0
2/19/2013;10667;7.66957;601;601;2653;0;1223;84;111;22;0;0;0;0
2/20/2013;6979;5.0179;468;468;2481;0;1266;89;63;22;0;0;0;0
2/21/2013;11131;8.00319;568;568;2610;0;1271;47;79;43;0;0;0;0
2/22/2013;5352;3.84809;332;332;2304;0;1279;104;52;5;0;0;0;0
2/23/2013;24383;17.56092;964;964;3125;0;1071;102;177;44;46;0;0;0
2/24/2013;3195;2.2972;287;287;2245;0;1246;173;21;0;0;0;0;0
2/25/2013;4881;3.50944;238;238;2181;0;1352;39;27;22;0;0;0;0
2/26/2013;6697;4.81514;397;397;2388;0;1241;131;63;5;0;0;0;0
2/27/2013;8839;6.35524;430;430;2431;0;1252;97;79;12;0;0;0;0
2/28/2013;10876;7.81984;505;505;2528;0;1221;108;98;13;0;0;0;0
3/1/2013;12072;8.67977;609;609;2664;0;1195;129;90;26;0;0;0;0
3/2/2013;24890;17.89591;965;965;3126;0;1080;132;182;46;0;0;0;0
3/3/2013;4129;2.96875;164;164;2085;0;1362;42;30;6;0;0;0;0
3/4/2013;6092;4.38015;289;289;2248;0;1296;93;43;8;0;0;0;0
3/5/2013;7650;5.50035;335;335;2308;0;1244;149;46;1;0;0;0;0
3/6/2013;10741;7.72278;525;525;2555;0;1173;176;84;7;0;0;0;0
3/7/2013;6643;4.77632;381;381;2367;0;1239;139;56;6;0;0;0;0
3/8/2013;12839;9.23124;676;676;2751;0;1128;193;109;10;0;0;0;0
3/9/2013;1719;1.23596;99;99;2505;0;1368;59;10;3;0;0;0;0
3/10/2013;3673;2.64089;150;150;2067;0;1369;37;26;8;0;0;0;0
3/11/2013;6034;4.33845;366;366;2348;0;1250;133;47;10;0;0;0;0
3/12/2013;17184;12.3553;1015;1015;3192;0;1147;105;107;81;0;0;0;0
3/13/2013;6144;4.41754;442;442;2447;0;1268;110;53;9;0;0;0;0
